,SATID,satname,program,valid,area_1,area_2
45165,,,,0.0,,
45166,,,,0.0,,
45167,,,,0.0,,
45168,,,,0.0,,
45169,,,,0.0,,
45170,,,,0.0,,
45171,,,,0.0,,
45172,,,,0.0,,
45173,,,,0.0,,
45174,,,,0.0,,
45175,,,,0.0,,
45176,S47321,Tiantong-1 03 xing,Tiantong,1.0,12.5,75.0
45177,,,,0.0,,
45178,,,,0.0,,
45179,,,,0.0,,
45180,,,,0.0,,
45181,,,,0.0,,
45182,,,,0.0,,
45183,,,,0.0,,
45184,,,,0.0,,
45185,,,,0.0,,
45186,,,,0.0,,
45187,,,,0.0,,
45188,,,,0.0,,
45189,,,,0.0,,
45190,,,,0.0,,
45191,,,,0.0,,
45192,,,,0.0,,
45193,,,,0.0,,
45194,,,,0.0,,
45195,,,,0.0,,
45196,,,,0.0,,
45197,,,,0.0,,
45198,,,,0.0,,
45199,,,,0.0,,
45200,,,,0.0,,
45201,S47346,GMS-T,GMS-T,1.0,0.5,1.5
